Rk,School,G,W,L,W.L.,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,X.,MP,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,TRB,AST,STL,BLK,TOV,PF
238,Oregon,35,23,12,.657,12.82,5.28,10,8,13,4,5,7,2467,2203,,1410,886,1970,.450,266,775,.343,429,597,.719,340,1211,467,272,149,412,622
239,Pacific,32,14,18,.438,-2.13,2.30,4,12,9,7,5,10,2138,2241,,1290,710,1680,.423,198,564,.351,520,696,.747,285,1041,322,196,46,423,630
240,Penn State,32,14,18,.438,13.10,12.06,7,13,9,6,3,9,2229,2196,,1295,791,1898,.417,222,693,.320,425,613,.693,382,1174,389,245,122,399,597
241,Pennsylvania,31,19,12,.613,2.32,-0.48,7,7,10,4,8,5,2250,2117,,1265,821,1810,.454,282,803,.351,326,510,.639,270,1102,463,210,77,395,500
242,Pepperdine,34,16,18,.471,1.18,0.90,6,10,9,5,2,11,2572,2529,,1370,865,1949,.444,313,819,.382,529,696,.760,290,1085,479,229,95,432,639
243,Pittsburgh,33,14,19,.424,8.56,7.38,3,15,11,7,0,11,2306,2267,,1330,769,1841,.418,225,680,.331,543,779,.697,383,1209,387,227,126,448,610
244,Portland State,32,16,16,.500,-8.92,-5.75,11,9,12,4,3,10,2475,2404,,1290,856,2017,.424,238,769,.309,525,748,.702,491,1282,434,264,129,449,681
245,Portland,32,7,25,.219,-10.50,0.80,0,16,6,11,1,12,2078,2389,,1290,707,1708,.414,216,664,.325,448,668,.671,233,1032,369,175,123,425,588
246,Prairie View,34,22,12,.647,-7.16,-9.28,17,1,11,0,9,12,2551,2465,,1360,875,1997,.438,210,674,.312,591,868,.681,384,1126,427,300,54,433,739
247,Presbyterian,33,18,15,.545,-3.31,-5.45,9,7,12,3,6,11,2601,2389,,1325,888,1971,.451,361,945,.382,464,637,.728,307,1146,518,193,67,326,566
248,Princeton,28,16,12,.571,-3.16,-0.63,8,6,7,5,8,5,1948,1951,,1135,685,1666,.411,207,679,.305,371,502,.739,272,1016,295,168,70,354,459
249,Providence,33,18,15,.545,9.13,7.13,7,11,11,6,5,6,2356,2290,,1345,811,1911,.424,222,667,.333,512,741,.691,386,1206,475,242,129,436,580
250,Purdue,32,23,9,.719,21.34,11.97,16,4,15,0,6,6,2438,2138,,1290,857,1920,.446,311,854,.364,413,564,.732,391,1180,462,208,129,341,558
251,Quinnipiac,30,16,14,.533,-6.32,-7.99,11,7,7,7,9,5,2213,2163,,1230,709,1669,.425,338,898,.376,457,631,.724,302,1077,384,156,60,408,502
252,Radford,33,22,11,.667,1.28,-1.96,12,4,11,3,9,7,2440,2247,,1330,893,1937,.461,285,750,.380,369,515,.717,335,1169,467,196,101,358,528
253,Rhode Island,33,18,15,.545,3.19,1.55,9,9,9,5,5,7,2293,2239,,1335,821,1914,.429,172,615,.280,479,704,.680,375,1194,401,235,129,405,586
254,Rice,32,13,19,.406,-6.32,-1.82,8,10,9,7,4,11,2367,2481,,1305,795,1861,.427,277,793,.349,500,729,.686,316,1221,424,171,103,438,568
255,Richmond,33,13,20,.394,-1.11,-0.54,6,12,7,10,4,7,2314,2333,,1320,849,1800,.472,251,723,.347,365,552,.661,196,957,519,249,101,336,488
256,Rider,31,16,15,.516,-4.83,-6.37,11,7,9,3,6,10,2381,2333,,1245,847,1892,.448,222,651,.341,465,755,.616,363,1144,450,282,101,415,591
257,Robert Morris,33,17,16,.515,-9.56,-7.59,11,7,12,3,5,13,2280,2237,,1335,799,1846,.433,257,725,.354,425,609,.698,346,1102,454,238,85,489,658
258,Rutgers,31,14,17,.452,9.48,10.35,7,13,10,7,4,9,2105,2132,,1250,771,1842,.419,191,612,.312,372,584,.637,391,1210,390,201,124,408,566
259,Sacramento State,31,15,16,.484,-8.72,-6.72,8,12,9,5,4,10,2197,2155,,1250,806,1800,.448,175,527,.332,410,592,.693,308,1051,431,239,104,404,566
260,Sacred Heart,32,15,17,.469,-7.61,-7.84,11,7,10,3,4,13,2558,2509,,1285,885,1926,.460,243,681,.357,545,722,.755,354,1230,471,170,132,465,572
261,Saint Francis (PA),32,18,14,.563,-8.61,-6.58,12,6,12,4,6,10,2445,2419,,1280,861,1969,.437,245,700,.350,478,680,.703,418,1208,402,216,92,390,580
262,Saint Joseph's,33,14,19,.424,-0.11,1.99,6,12,10,5,2,11,2328,2397,,1325,793,1943,.408,280,869,.322,462,615,.751,258,1140,397,186,110,305,497
263,Saint Louis,34,22,12,.647,5.39,2.03,10,8,15,2,4,8,2292,2178,,1360,814,1940,.420,197,630,.313,467,778,.600,467,1353,441,242,134,440,600
264,Saint Mary's (CA),33,22,11,.667,13.02,4.47,11,5,14,3,5,5,2406,2124,,1325,876,1850,.474,245,648,.378,409,549,.745,324,1147,332,198,84,347,561
265,Saint Peter's,32,10,22,.313,-11.98,-6.23,6,12,7,7,2,14,2012,2196,,1305,707,1639,.431,184,567,.325,414,570,.726,293,1031,301,172,177,488,614
266,Sam Houston State,32,21,11,.656,-2.90,-6.11,16,2,12,2,8,8,2407,2225,,1305,858,1946,.441,302,819,.369,389,514,.757,359,1158,531,236,91,399,634
267,Samford,33,17,16,.515,0.97,-1.75,6,12,11,6,5,9,2583,2487,,1355,921,1951,.472,254,687,.370,487,666,.731,316,1225,461,238,127,463,560
268,San Diego State,34,21,13,.618,5.65,2.83,11,7,14,3,4,7,2437,2291,,1360,845,1940,.436,261,721,.362,486,679,.716,346,1228,487,197,113,424,638
269,San Diego,35,21,14,.600,6.67,3.67,7,9,12,4,5,8,2531,2381,,1420,892,1942,.459,274,784,.349,473,634,.746,276,1201,503,197,109,444,650
270,San Francisco,31,21,10,.677,8.86,1.43,9,7,13,3,6,5,2358,2101,,1250,864,1852,.467,258,728,.354,372,568,.655,340,1137,439,188,104,321,543
271,San Jose State,31,4,27,.129,-16.05,0.92,1,17,4,11,0,12,2042,2534,,1250,713,1765,.404,210,641,.328,406,620,.655,323,1127,423,131,52,484,539
272,Santa Clara,31,16,15,.516,-1.67,1.17,8,8,11,6,4,6,2115,2172,,1255,735,1655,.444,239,663,.360,406,567,.716,242,1026,416,146,111,433,597
273,Savannah State,31,11,20,.355,-20.41,-8.94,8,8,6,5,4,14,2360,2694,,1245,825,2080,.397,351,1199,.293,359,531,.676,383,1188,462,234,96,478,564
274,Seattle,32,18,14,.563,-0.98,-3.61,6,10,12,5,4,8,2352,2210,,1290,827,1885,.439,232,624,.372,466,649,.718,321,1176,368,140,115,390,640
275,Seton Hall,33,20,13,.606,11.37,8.91,9,9,11,4,3,8,2440,2359,,1335,863,1959,.441,231,714,.324,483,682,.708,351,1181,447,231,129,410,619
276,Siena,33,17,16,.515,-7.76,-6.33,11,7,7,7,8,7,2131,2178,,1345,772,1779,.434,288,850,.339,299,440,.680,248,973,413,189,93,321,462
277,South Alabama,34,17,17,.500,-4.25,-2.50,8,10,13,6,3,10,2478,2465,,1375,867,1884,.460,285,761,.375,459,669,.686,288,1094,471,201,141,456,649
278,South Carolina State,34,8,26,.235,-16.77,-8.21,5,11,5,6,2,19,2388,2593,,1375,811,1889,.429,193,580,.333,573,772,.742,376,1138,386,167,60,493,670
279,South Carolina Upstate,32,6,26,.188,-15.27,-4.24,1,16,5,9,1,15,2169,2395,,1290,775,1874,.414,269,819,.328,350,491,.713,305,1050,434,207,94,440,621
280,South Carolina,32,16,16,.500,8.72,10.01,11,7,11,6,4,8,2327,2316,,1285,806,1907,.423,242,662,.366,473,694,.682,383,1160,413,202,140,433,622
281,South Dakota State,32,24,8,.750,5.95,-5.24,14,2,14,1,7,5,2716,2346,,1280,957,1901,.503,318,776,.410,484,624,.776,239,1221,476,199,63,378,537
282,South Dakota,30,13,17,.433,-5.35,-2.88,7,9,8,6,4,8,2118,2136,,1205,729,1663,.438,227,665,.341,433,585,.740,219,942,382,165,68,324,527
283,South Florida,32,19,13,.594,5.36,1.26,8,10,14,5,4,6,2312,2144,,1305,761,1774,.429,221,677,.326,569,887,.641,444,1246,441,252,103,513,676
284,Southeast Missouri State,31,10,21,.323,-11.27,-4.34,5,13,6,8,2,13,2216,2378,,1265,796,1809,.440,266,719,.370,358,519,.690,284,1081,402,182,75,447,615
