Rk,School,G,W,L,W.L.,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,X.,MP,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,TRB,AST,STL,BLK,TOV,PF
286,Southern California,31,15,16,0.484,7.95,4.79,8,10,12,5,2,9,2365,2267,,1260,881,1919,0.459,262,686,0.382,341,532,0.641,307,1119,509,186,106,367,556
287,SIU Edwardsville,31,10,21,0.323,-14.27,-4.85,6,12,7,8,2,11,2265,2520,,1280,794,1898,0.418,201,665,0.302,476,677,0.703,351,1079,382,198,70,438,612
288,Southern Illinois,32,17,15,0.531,1.66,0.09,10,8,9,6,7,7,2194,2144,,1280,802,1720,0.466,213,570,0.374,377,550,0.685,289,1081,438,212,129,447,474
289,Southern Methodist,30,14,16,0.467,5.61,3.84,6,12,10,8,2,7,2155,2102,,1200,779,1774,0.439,246,731,0.337,351,489,0.718,350,1071,418,176,117,327,484
290,Southern Mississippi,30,19,11,0.633,4.35,-0.38,11,7,11,3,7,6,2183,1927,,1210,827,1768,0.468,244,637,0.383,285,440,0.648,257,1085,509,241,101,311,459
291,Southern Utah,29,14,15,0.483,-10,-6.04,9,11,10,3,4,12,2188,2202,,1175,760,1720,0.442,231,695,0.332,437,622,0.703,248,1061,364,172,99,394,607
292,Southern,31,7,24,0.226,-16.66,-7.26,6,12,6,5,1,17,2007,2280,,1245,728,1656,0.44,173,525,0.33,378,567,0.667,307,949,358,212,82,498,692
293,St. Bonaventure,31,16,15,0.516,3,0.45,12,6,9,5,6,7,2061,1982,,1265,759,1751,0.433,186,577,0.322,357,490,0.729,301,1070,382,191,141,394,512
294,St. Francis (NY),32,17,15,0.531,-9.71,-8.21,9,9,11,3,6,11,2273,2239,,1285,814,1926,0.423,259,777,0.333,386,570,0.677,338,1163,369,189,129,403,613
295,St. John's (NY),31,20,11,0.645,9.49,5.82,8,10,11,4,4,7,2422,2308,,1255,871,1903,0.458,271,736,0.368,409,565,0.724,238,1016,441,272,99,324,587
296,Stanford,30,15,15,0.5,6.54,5.38,8,10,10,4,4,9,2183,2148,,1205,781,1706,0.458,200,627,0.319,421,623,0.676,304,1100,381,179,139,455,564
297,Stephen F. Austin,30,14,16,0.467,-10.54,-5.47,7,11,10,6,3,9,2105,2161,,1210,745,1696,0.439,201,588,0.342,414,607,0.682,313,1008,348,192,113,442,579
298,Stetson,31,7,24,0.226,-14.91,-3.36,3,13,7,8,0,16,2151,2429,,1245,794,1962,0.405,215,684,0.314,348,503,0.692,359,1110,418,210,94,394,536
299,Stony Brook,32,24,8,0.75,-1.91,-6.52,12,4,10,4,13,3,2285,2106,,1290,790,1872,0.422,224,687,0.326,481,671,0.717,401,1303,358,199,132,458,601
300,Syracuse,31,19,12,0.613,14.45,10.22,10,8,13,6,6,4,2156,2025,,1245,739,1750,0.422,241,746,0.323,437,640,0.683,334,1083,375,254,149,380,538
301,Temple,31,23,8,0.742,8.89,4.89,13,5,13,2,8,5,2321,2197,,1260,821,1866,0.44,233,706,0.33,446,610,0.731,288,1059,453,272,71,342,540
302,Tennessee-Martin,31,12,19,0.387,-10.82,-4.2,6,12,10,4,1,14,2356,2486,,1250,854,1915,0.446,250,726,0.344,398,528,0.754,351,1062,441,223,88,418,490
303,Tennessee State,30,9,21,0.3,-11.54,-3.08,6,12,6,7,3,14,2182,2332,,1210,751,1739,0.432,240,716,0.335,440,628,0.701,317,1032,342,219,78,497,735
304,Tennessee Tech,31,8,23,0.258,-14.56,-2.8,4,14,5,10,3,13,2104,2350,,1250,742,1784,0.416,213,620,0.344,407,645,0.631,330,1122,389,226,134,517,554
305,Tennessee,31,27,4,0.871,23.21,9.51,15,3,18,0,7,3,2552,2096,,1255,931,1866,0.499,210,597,0.352,480,629,0.763,318,1175,574,185,168,348,543
306,Texas A&M-Corpus Christi,31,14,17,0.452,-7.75,-4.93,9,9,9,7,5,9,2073,2051,,1250,754,1743,0.433,195,593,0.329,370,535,0.692,338,1126,415,194,89,444,587
307,Texas A&M,30,13,17,0.433,7.83,9,6,12,9,8,3,7,2130,2165,,1200,760,1741,0.437,193,632,0.305,417,598,0.697,354,1138,360,197,139,417,493
308,Texas-Arlington,31,16,15,0.516,-0.2,1.23,12,6,9,5,7,10,2153,2172,,1265,733,1781,0.412,222,720,0.308,465,628,0.74,349,1157,398,201,89,440,592
309,Texas Christian,31,19,12,0.613,13.76,9.44,7,11,12,5,3,7,2311,2177,,1260,836,1828,0.457,239,683,0.35,400,580,0.69,335,1123,505,219,136,420,501
